title,time,type,description,icon
План на 95 лет,,Истории,"Девяносто пять лет? Да-да. Надо начать с начала жизни и отнестись к прошедшим годам так, будто вы намеренно их спланировали — родились, в семь лет пошли в школу, в десять — переехали в Калифорнию. Продолжайте до настоящего времени, а потом двигайтесь дальше — в будущее: в 57 лет вы отправились в Антарктиду, в 65 стали разводить орхидеи и написали великий роман, в 85 снова вступили в брак. И останавливаться нельзя, пока не дойдете до 95 лет!

Возьмите несколько листов линованной или простой бумаги и поверните горизонтально. Разделите их на четыре колонки. Первую озаглавьте «Возраст», в ней вы запишете числа 5, 10, 15, 20 и так далее, до 95 лет.(Пропустите по нескольку строчек — возможно, вам захочется разбить эти интервалы на более мелкие.)

Вверху второй колонки напишите «Главное событие». Это значит родиться, пойти в школу, переехать — и все, что случится или может случиться в будущем,— все, что кажется вам важным.

Конечно, вообразить важное событие через двадцать, тридцать или пятьдесят лет — большое допущение, но все же постарайтесь. Вы строите сетку, от которой зависят две следующие колонки.

С третьей колонкой труднее, но интереснее: озаглавьте ее «Чему я научился» и напишите самое важное, что вы выучили или выучите в каждом возрасте. Не торопитесь. Эта часть упражнения может оказаться очень серьезным опытом.

Теперь вверху четвертой колонки напишите: «Самое потрясающее, что я видел». Возможно, вы не безупречно помните прошлое, но доверьтесь импульсу: он не даст уйти далеко от истины. Когда дойдете до будущего, вам придется отпустить воображение на свободу, но постарайтесь и сделайте это. Оно того стоит.

Завершив упражнение, напишите внизу на последней странице: «Что я хочу рассказать молодежи», а потом расскажите, чему этот воображаемый путь в девяносто пять лет научил вас применительно к смыслу жизни.

А как у вас? Что вы обнаружили? Это весьма важно, ведь вы только что составили описание работы для всей вашей жизни.

И, надеюсь, вы поняли: *у вас только одна настоящая работа, и эта работа — прожить целую жизнь.* Посмотрите, сколько в ней грядет событий, решений, мест, ощущений, проектов.

|  **Годы** | **Главное событие** | **Чему я научился/научилась** | **Самое потрясающее, что я видел/видела** |
| --- | --- | --- | --- |
| 5 |  |  |  |
| 10 |  |  |  |
| 15 |  |  |  |
| 20 |  |  |  |
| 25 |  |  |  |
| 30 |  |  |  |
| 35 |  |  |  |
| 40 |  |  |  |
| 45 |  |  |  |
| 50 |  |  |  |
| 55 |  |  |  |
| 60 |  |  |  |
| 65 |  |  |  |
| 70 |  |  |  |
| 75 |  |  |  |
| 80 |  |  |  |
| 85 |  |  |  |
| 90 |  |  |  |

Что я хочу рассказать молодежи?",🎯
Чек-лист работы с курсами и вебинарами,,,"- Список вопросов
- Список практик
- Список задач
- Список идей
- Список того, чем хочу поделиться
- Отзыв",🎯
Как преодолеть застенчивость,,Саморазвитие,"**Упражнение 1 «Фильм»**

Вообразите, что вы смотрите часовой фильм о вашей жизни.

Где происходит показ? Какова сюжетная линия? Кто главные персонажи? Кто второстепенные? Кто руководит фильмом? Чем занимаются зрители во время просмотра?Каковы поворотные моменты фильма? Каков конец? Какая мораль может быть извлечена?Что делают зрители после окончания фильма?

**Упражнение 2 «Моменты жизни»**

Напишите 5 лучших моментов жизни. И 5 худших. Рядом с каждым пунктом напишите, кто или что способствовало этому. В скольких случаях вы были ответственным за ситуацию?

**Упражнение 3 «Если бы только я не был застенчив…»**

Почувствуйте себя уютно и закройте глаза. Подумайте о человеке или ситуации, которые постоянно вызывают в вас чувство застенчивости. Обдумайте это в деталях – каждое слово, каждый жест. Теперь вообразите, что бы вы сделали в этой же ситуации, если бы не были застенчивы. Что вы бы должны были сделать? Сказать? Что случилось бы?

Думайте об этом позитивном варианте каждый день в течение недели. В следующий раз, когда вы начнете чувствовать себя застенчивым в такой ситуации, вызовите в памяти ваш позитивный образ. Активно тренируйтесь таким образом.

**Упражнение 4 «Пофантазируем?»**

Если бы вы могли перевоплотиться в животное, кем бы вы стали? Почему именно это животное вы выбрали?

Если бы вы могли на неделю поменяться местами с другим человеком, кем бы вы стали? Почему?

Если бы появилась добрая фея, которая исполнит три ваших желания, какие желания вы загадаете?

**Техники по преодолению застенчивости**

Отличный путь, помогающий застенчивым людям обрести инициативу, — это путь актера, играющего роль. Выбирайте сами, каким вы хотите быть — сейчас вы храбры как Джеймс Бонд, а сейчас игривы, наивны и женственный как принцесса на горошине, а сейчас вы как пьяный дворник дядя Ваня вообще все можете себе позволить.

«Привет!». Здоровайтесь со всеми, кого встретите на улице, на работе или в школе. Улыбнитесь, скажите: «Привет! Прекрасный день, правда?».

Начинайте спокойные беседы с незнакомцами в публичных местах — магазине, кинотеатре, банке.

Возьмите за правило делать каждый день знакомым и незнакомым людям комплименты.

**Для всей семьи:**

Сядьте с закрытыми глазами. По сигналу «Начали», все начинают выражать недовольство общей ситуацией (работа, семья, планы на отпуск и так далее). Делайте это одновременно и громко. Как только наступает временное затишье, скомандуйте: «Открыть глаза». Повторите свои слова, глядя друг на друга. Кричите так громко, чтобы все остальные почти оглохли. Затем выделите сходные жалобы и начните их обсуждать. Последними обсудите жалобы особые, которые беспокоят одного или двух людей. Такое упражнение помогает выплеснуть наружу ярость и превращает обиды и гнев в крик, и потешную перебранку. Это позволяет людям услышать, чем недовольны окружающие, и приводит к обсуждению и решению проблем.

Из книги Филипа Зимбардо «Как побороть застенчивость»:",🧠
Вопросы о работе над зависшим проектом,,Бизнес,"Многие из нас хотели бы вернуться к каким-то отложенным проектам или начать новые. (Проект мы тут будем определять как “нечто, во что вкладываешь душу, время, силы и иные ресурсы”)

🚩 что этот проект даст мне? Если бы можно было поговорить с ним, что бы он сказал? 
🚩 В какой момент или период жизни я понял_а, что хочу заниматься этим проектом? На какой вызов в моей жизни этот проект является ответом? 
🚩 Что он даст другим людям? Какую пустоту он заполняет в мире? 
🚩 Делала ли я что-то подобное раньше? Если да, то что тогда получалось и работало? 
🚩 На что я обращала внимание раньше, чтобы проекты, в чем-то аналогичные нынешнему получались хорошо? 
🚩 Кого из тех, кто меня знает, порадует, для кого будет ценно и важно если то, что я собираюсь сделать, получится хорошо? 
🚩 У кого бы я хотела попросить поддержки для работы над этим проектом? Какой именно поддержки? 
🚩 знаю ли я людей, которые делают аналогичные проекты, но по-другому? Что мне нравится и что не нравится в том, что они делают? Почему? 
🚩 как я могу реализовать в этом проекте уникальность? Сделать его узнаваемо моим? 

🚩 на что похож этот проект? С чем я его сравниваю? 

🚩 к чему в этом проекте я ещё пока не знаю, как подступиться? 

🚩 могу ли я посмотреть на этот проект с новой точки зрения, с какой ещё не смотрела? Что бы это была за точка зрения? 
🚩 какие ресурсы нужны, чтобы развивать и поддерживать проект? 

🚩 что помогало мне в прошлом не бросать проекты и не сходить с дистанции? Что из этого может помочь в этот раз? 

🚩 как я пойму, что у меня получилось достаточно хорошо? В чем разница между идеально и достаточно хорошо? 

🚩 каков ближайший шаг? Что мне нужно, чтобы его совершить? Где взять то, что мне нужно? 

🚩 что в работе над проектом доставляет мне больше всего удовольствия? 

🚩 какие «нечаянные» радости я обнаруживаю в работе над проектом? 

🚩 где в работе над проектом я сама себе ставлю палки в колеса? Какие мои привычные паттерны мышления и действия могут мне мешать? 

🚩 в какие моменты я начинаю отлынивать от работы над проектом? Какие мысли и чувства провоцируют отлынивание? 

🚩 за что в работе над проектом я себя критикую? 

🚩 с какими ограничивающими убеждениями я сталкиваюсь, работая над этим проектом? 

🚩 какие внешние условия и обстоятельства мешают мне? На что из этого я могу повлиять? Как обойтись с тем, на что я не могу повлиять? 

🚩 есть ли что-то в работе над этим проектом, что я знаю, что надо сделать, но почему-то все равно не делаю? 

🚩 как выглядит минимально жизнеспособная версия этого проекта? Где её можно было бы обкатать? 

🚩 какую усталость вызывает у меня работа над проектом? Умственную, эмоциональную? Что лучше всего помогает мне восстановиться? 

🚩 На какие вопросы мне важно найти ответы, чтобы продолжать развивать работу над этим проектом? 

🚩 какие уроки я извлекла, работая над этим проектом в течение 30 дней?",🎯
Работа с чувством личной несостоятельности,,Осознанность,"Источник: http://www.pismennyepraktiki.ru/rabota-s-chuvstvom-nesostojatelnosti/?fbclid=IwAR1hDN6fYxE02BCXsRtXH_zfvo8uVKziwTevhYblLwDGGa8-JHcLvlSCl94

**РАБОТА С ЧУВСТВОМ ЛИЧНОСТНОЙ НЕСОСТОЯТЕЛЬНОСТИ (адаптация вопросов Майкла Уайта)**

**1. «В какие именно нормы и стандарты вы не вписываетесь, каким требованиям не соответствуете?»**

Иначе говоря, какие-то «они там» настаивают, что вы должны проявлять определенные умения, качества, достигать чего-то определенного, а вы вот нет. Что это за умения, качества и достижения?

Закончите предложение:

**«Я усвоил, что должен мочь ____________________ (а я не могу (делать это достаточно хорошо))»**

Я усвоила, что должна мочь ставить цели, строить планы, выполнять их, выполнять свои обязательства перед другими людьми, сдавать работу в срок, успевать к дедлайнам, быть успешной, независимой, компетентной, совершать постоянное усилие, быть упорной, продуктивной и организованной.

**2. «Что вы испытываете, когда не соответствуете этим нормам, стандартам и требованиям? Что вы делаете, чтобы привести себя в соответствие им? Какие практики самодисциплинирования вы применяете к себе?»**

Другими словами, каким образом вы «берете себя в руки» и «собираетесь», откликаясь на призыв «соберись, тряпка»? Что вы начинаете делать?

Закончите предложения:

**«Когда я чувствую, что я недостаточно ______________________ (вставьте перечисление норм и стандартов из предыдущего вопроса), я чувствую ______________________. Когда я чувствую, что недостаточно ____________________, я начинаю «работать над собой» следующим образом:______________________»**

Когда я чувствую, что недостаточно хорошо ставлю цели и еще хуже их достигаю, что я недостаточно независима, успешна, продуктивна и организованна, я чувствую разочарование в себе. Я чувствую, что мне никогда не удастся реализовать свои мечты, я расстраиваюсь, унываю, теряю мотивацию. Я начинаю пересматривать мою систему самоорганизации, трачу время на составление вариативных планов с учетом разных меняющихся условий, я заимствую стратегии и тактики, придуманные другими людьми в отличающихся ситуациях и начинаю пытаться приложить их к своей жизни, чтобы жизнь стала более отрегулированной, более предсказуемой, более подконтрольной. Я начинаю «нарезать» время на все более маленькие «куски».

**4. «Бывают ли какие-то моменты, когда власть стандартов и норм над вами не абсолютна? Бывают ли какие-то моменты, когда вы не прикладываете к себе усилия, чтобы привести себя в соответствие нормам? Может быть, в какие-то моменты вы протестуете против них, саботируете их, игнорируете их или даете себе передышку?»**

Другими словами, когда и где вы позволяете себе не плясать под эту дуду?

Закончите предложения:

**«Хотя я знаю, что должен быть _________________ и делать ___________________ (вставьте ответы на первый и второй вопросы), чтобы соответствовать стандартам и нормам, иногда я могу этого не делать. Я могу этого не делать, когда ______________________»**

Хотя я знаю, что должна быть успешной, продуктивной и организованной, ставить цели и достигать их вовремя, и хотя я знаю, что должна пересмотреть свою систему самоорганизации и попробовать внедрить в свою жизнь решения, найденные другими людьми в других обстоятельствах, чтобы сделать мою жизнь более подконтрольной, регулируемой и предсказуемой, иногда я могу этого не делать. Я могу этого не делать тогда, когда мои тело и душа, или тела и души тех, кого я люблю, требуют непосредственной заботы, присутствия, отзывчивости — тогда я следую потоку от момента к моменту.

**4. «Что вы говорите себе и что делаете, чтобы усилить свою способность выдержать давление норм и стандартов — и практик приведения себя в соответствие с ними? На что вы полагаетесь, что поддерживает вас в вашем выборе не соответствовать?»**

Другими словами, я усиливаю свою способность отказываться соответствовать — я могу ради чего-то пожертвовать соответствием нормам и стандартам. Я поддерживаю себя в этом, прежде всего, определенными словами, к себе обращенными.

Закончите предложение:

**«Я становлюсь способной выдерживать давление норм и стандартов _____________, сопротивляться им и действовать по-другому за счет того, что говорю себе ________________________»**

Я становлюсь способной выдерживать давление норм и стандартов успешности, организованности, продуктивности, постановки целей и их достижения, я становлюсь способной сопротивляться им и действовать по-другому за счет того, что говорю себе: «Я открыта нуждам текущего момента. Я отзывчива, я присутствую, я стараюсь вносить в эту ситуацию лучшее, на что я способна. Кто знает, что в конце моей жизни будет иметь больший вес, след из достигнутых целей, который я оставлю по себе, или те смыслы, тот опыт совместности, который мы прожили вместе с людьми. Я следую тому, что говорят мне мое сердце — и чувство ответственности».

**5. «Этот протест против гегемонии стандартов и норм, несомненно, является отражением каких-то крайне важных ценностей в вашей жизни. Настолько важных, что вы не готовы отказаться от них, даже в том случае, если вы в чьих-то глазах станете «несостоятельным». Что настолько значимо для вас? От чего вы не готовы отказаться, что не готовы предать?»**

Закончите следующие предложения:

**«Я становлюсь способным сопротивляться давлению норм и стандартов, потому что я не готов предать ценности _______________________, которые крайне важны для меня. Я не могу прекратить занимать позицию против __________________ и за __________________. Именно в этом я вижу свою самую настоящую, подлинную ответственность».**

Я становлюсь способной сопротивляться давлению норм и стандартов, потому что я не готова предать ценности заботы, отзывчивости, сострадания, готовности быть рядом, признания трудностей, с которыми имеют дело люди, и готовности делать лучшее из того, что я могу, чтобы устанавливать настоящие, глубокие человеческие отношения и облегчать боль. Я не могу прекратить занимать позицию против последствий хронической болезни и хроничекой боли — и за то, чтобы в жизни людей был максимум смысла и реализованности, при всех привходящих обстоятельствах. Именно в этом я вижу свою самую настоящую, подлинную ответственность. Я замедляюсь, потому что люди, которых я люблю, не могут бежать быстро (или вообще не могут бежать).

**6. «Когда вы защищаете эти ценности, отстаиваете их, какое мировоззрение воплощается в этом вашем выборе? Где и когда вы находите своих «союзников в культуре», где ваше прибежище, к чему вы чувствуете причастность? Какие жизненные принципы разделяют эти люди?»**

Закончите следующие предложения:

**«Я распознаю те ценности, которые я описала выше, как то, под чем могли бы подписаться и _____________. Мне очень близко их понимание __________________ (идеалов, к которым они стремятся), я думаю, что если бы в мире этого было бы больше, мир был бы лучше. Из того, что делают эти люди, мне очень нравятся практики ___________________»**

Я распознаю те ценности, которые я описала выше, как то, под чем могли бы подписаться и маги из Дома Хаффлпафф в Хогвартсе. Мне очень близко их понимание солидарности, взаимной поддержки и сотрудничества («придем к финишу последними, зато дойдем все, никого из своих не бросим по дороге»). Это также напоминает мне о буддизме махаяны с идеалом сострадательного боддхисаттвы («не уходить в нирвану до тех пор, пока хотя бы одна травинка живет непросветленной и страдает»), а также миссию квакеров, их отзывчивость и задачу высвечивания-укрепления лучшего в каждом человеке, не исключая себя («идти по миру бодро и легко, отзываясь на то, что от Бога в любом человеке»). Мне кажется, если бы в мире этого больше, мир был бы лучше. Мне нравятся их практики различания, медитации, слушания тихого голоса внутри, следования его водительству, честного рассмотрения жизни, подотчетности, сообщества, приумножения хорошего, и служения.

**7. «Что вы делаете в своей повседневной жизни, чтобы оставаться в контакте с этими идеалами, принципами и практиками? Когда вы больше в контакте с ними, как это чувствуется? Есть ли для вас разница между тем, как чувствуется приведение себя в соответствие стандартам и нормам, и тем, как чувствуется действие, настроенное на принципы и идеалы? Если есть разница, то в чем она? Что могло бы произойти, если бы вы в своей жизни и работе могли бы в большей степени (в том числе, более открыто) придерживаться этих ценностей, идеалов и принципов? Что в ваших реакциях и поступках стало бы иным?»**

Завершите предложения:

**«Я уже понемногу встраиваю в свою жизнь некоторые из идеалов, принципов и практик ______________ (вставьте ваш ответ на вопрос №6). Когда я делаю это, я чувствую ________________. Если сравнивать это с приведением себя в соответствие стандартам и нормам _______________, я могу сказать, что ______________________.**

**Если бы у меня получалось следовать этим ценностям, идеалам и принципам более полно и открыто, это значило бы, что я бы стала ____________________________. В тех ситуациях, которые сейчас вызывают у меня максимум сложностей, я могу попробовать ____________________________ вместо способа действия, бывшего для меня привычным до сих пор».**

Я уже понемногу встраиваю в свою жизнь некоторые из идеалов, принципов и практик — такие, как ежедневная медитация, дневниковые практики различания, я делюсь идеями и инсайтами (так для меня реализуется, в частности, приумножение хорошего и служение), я совершаю маленькие шаги каждый день и стремлюсь вносить лучшее, на что я способна, во все, что я делаю.

Когда я делаю это, я чувствую себя менее напряженной, более внимательной, присутствующей в теле, я нахожусь в состоянии спокойного потока. Я не сравниваю себя с другими людьми или с собой-прежде. Если сравнивать это с приведением себя в соответствие стандартам и нормам успешности, продуктивности, организованности, целеполагания и достижения целей, я чувствую себя менее «сфокусированной» на какой-то конкретной задаче и более «рассредоточенной». В этом больше тепла и больше сопричастности.

Если бы у меня получалось следовать этим ценностям, идеалам и принципам более полно и открыто, это значило бы, что я стала бы более открыто приглашать людей, которых я люблю, людей, с которыми я поддерживаю контакт, к размышлению, различанию и озвучиванию их надежд — что хорошего, как им хотелось бы, могло бы происходить в нашей совместности в настоящий момент? В ситуациях, которые сейчас вызывают у меня максимум сложностей, я буду останавливаться, вдыхать, выдыхать, чувствовать, каково моему языку во рту, не напряжен ли он чрезмерно, — и спрашивать всех присутствующих, в том числе и себя, о том, каковы их нужды и надежды; вместо того, чтобы спешить прогнуть ситуацию в сторону «правильного результата» или того способа действия, который проще.

**8. «Если позволить себе говорить с определенной долей пафоса, который в данном случае вполне уместен, — какой мир вы хотели бы построить, реализуя те практики, в которых воплощаются ваши принципы и идеалы? Что в этом мире могло бы быть возможно для вас и других людей? Если в этом мире есть место «большим задачам», смыслонаправленному движению, — то какой могла бы быть ваша «большая задача»? Какое сокровище вы ищете, что стремитесь найти или создать?»**

Закончите следующие предложения:

**«Когда я реализую практики ___________________________ (вставьте ответ на вопрос №7), в которых воплощаются важные для меня принципы и идеалы _____________________ (вставьте ответ на вопрос №6), в глубине души я очень надеюсь, что тем самым я строю более __________________________ мир. В этом мире, люди смогут ____________________, в нем будет больше _____________________ и меньше ________________________. Если у меня есть «большая задача» в этом мире (или в построении этого мира), я думаю, что моя «большая задача» — в том, чтобы ____________________ Я бы хотел найти или создать ________________________»**

Когда я реализую практики медитации, различания, остановки, чтобы спросить тех, с кем я в контакте, об их нуждах и надеждах, — практики, воплощающие важные для меня идеалы совместности, сострадания, высвечивания-укрепления лучшего и уникального в каждом человеке, в глубине души я очень надеюсь, что тем самым я строю более человечный, мирный, безопасный мир, мир сотрудничества, понимания, любви и легкости. В таком мире, люди смогут исцеляться и наслаждаться жизнью в ее самых подлинных, простых и прекрасных формах, в нем будет больше искусства, игры, веселья и созерцания — и меньше войны, потребительского отношения, насилия, жестокости и отчуждения.

Если у меня есть «большая задача» в этом мире (или в построении этого мира), я думаю, что моя «большая задача» — в том, чтобы помочь людям исцеляться, чувствовать себя более цельными, чтобы у них внутри был мир, и чтобы они находили способ становиться ближе к себе и к другим, чувствовать причастность и заботиться. Я бы хотела найти или создать способы использовать письменное слово, чтобы люди могли защитить себя от депрессии и последствий травматического стресса.",🧘‍♀️
Итоги месяца: двустраничник,,,"- «Мы хотим быть уверены, что Мехротра знает о трёх вещах», — такая формулировка раздела лучше работала, чем простое «резюме», и давала более ёмкий и точный конспект.
- «Три вещи, которые помогут двигаться быстрее», — это чаще всего было ключевой главой «двухстраничника». В ней писали запросы о ресурсах, выделении нужных людей из других команд, просьбы разъяснить подробнее стратегию и так далее.
- «График, диаграмма, картинка или что-то ещё, что вас драйвит». Это оказалось одним из лучших механизмов, чтобы понять, что движет командой. Иногда они выбирали конкретную метрику («чтобы линия пересекла значение X»), другие выбирали мотивирующую картинку или плакат.

(Из статьи про youtube)",📓
Кто я?,,Призвание,"Кто я? Вопрос странный. Но не всегда мы можем сформулировать ответ на него. Кроме того, жизнь сейчас быстрая, мы меняемся – и нужно успевать вовремя «подгружать обновления».

Сегодня я предлагаю вам попробовать практику Ричарда Боллса — консультанта по построению карьеры. Вам пригодится десять листов бумаги, карандаш и 10–20 минут тишины.

Выполняем. 

1. На каждом из десяти листов бумаги напишите вопрос «Кто я?». 

2. Ниже под вопросом «Кто я?» на каждом листе напишите один вариант ответа. Опишите себя в ролях. Я написала «жена», «мама», «дочь», «предприниматель», «спикер», «редактор», «писатель», «коуч», «подруга», «женщина». 

3. Дальше остается для каждой роли обосновать, почему вы её написали. Чем важна для вас эта роль? Что она вам дает? Почему она так важна, что вы ее упомянули? Например, важность роли «предприниматель» я обосновала так: распространение письменных практик по миру, чтобы жизнь людей становилась ясной и наполненной, печать крутых блокнотов, знакомство с интересными людьми, поездки и встречи, профессиональный рост, ощущение силы, деньги.

4. Прочитайте описание ролей. Есть ли в них что-то общее? Что именно? Выпишите совпадающие аргументы. Найдя общее в разных ролях, вы поймете, что для вас важнее всего, ведь дело не в ролях как таковых, а в том, чем они вас привлекают. 

5. Последний штрих: распределите роли в порядке убывания важности. Сначала определите самую важную роль, затем менее важную, и так до тех пор, пока не расставите все по местам — от наиболее до наименее важной. 

Общее в моих ролях «предприниматель», «коуч», «писатель» — поддержка людей, учёба и рост, передача полезной информации, постановка и решение интересных задач, общение с разными людьми.

Получается, с точки зрения профессии я – человек, который любит учить и учиться, помогать людям решать их жизненные проблемы и зарабатывать на этом деньги. Мне повезло: я уже этим занимаюсь. 

Упражнение помогло мне задуматься не над сменой вектора моей деятельности, а над новыми горизонтами. Скажем, я увидела новые проекты и новые способы взаимодействия с компаниями.  

Если вы пока не знаете, что хотите и любите делать, это упражнение станет отправной точкой для профессионального самоопределения и смены вида деятельности.",🔮
Журнал принятия решений,,Решения,"Методом основоположника поведенческой экономики Даниэля Канемана.

Что это такое? «Считайте, что это инструмент для контроля качества вашего мышления», — объясняет Пэрриш. Канеман считает, что для этого достаточно купить самый простой бумажный блокнот и вести записи в свободной форме. Но Пэрриш использует специально разработанный шаблон, который вы можете скачать [здесь](https://www.notion.so/f8b0f7259f074826bf7d0d4f6b8ea842?pvs=21).

Не все решения достойны места в вашем журнале. Он предназначен прежде всего для «концептуальных решений». Вот алгоритм. Каждый раз, когда вы принимаете такое решение, опишите в журнале:

- Ситуацию и контекст принятия решения.
- Суть проблемы.
- Факторы, от которых зависит ситуация.
- Возможные трудности и осложнения.
- Альтернативные варианты решения проблемы и почему они были отвергнуты.
- Диапазон возможных последствий.
- Каких последствий вы ожидаете и почему.
- В какое время суток вы приняли решение, как вы себя чувствовали в этот момент физически и ментально (например, испытывали усталость).

Примерно раз в полгода Пэрриш советует просматривать журнал, добавлять к старым записям данные о реальных последствиях принятых решений и анализировать, насколько они соответствуют вашим изначальным планам и соображениям. Так вы сможете не только ясно увидеть свои ошибки, но и осознать, как именно вы их совершаете, в каких решениях вы чаще всего ошибаетесь. Это и есть тот момент, с которого начинается настоящее освоение навыка принятия эффективных решений.",📓
