title,time,type,description,icon
План на 95 лет,,Истории,"Автор: Барбара Шер | Темы: Истории, ценности",📄
Крошечный нервный срыв,,Личный коучинг,"Автор: Барбара Шер | Темы: Личный коучинг, Проблемы",📄
Чек-лист работы с курсами и вебинарами,,,,📄
Квадрант качеств,,Личный коучинг,"Автор: Нечаева Ольга | Темы: Личный коучинг, Отношения, Саморазвитие",📄
Когда приуныл,,Личный коучинг,"Автор: Лена Резанова | Темы: Личный коучинг, Сложная ситуация",📄
Семь практик для тонкого искусства letting go,,Отпускать,"Автор: Лиля Ким | Темы: Отпускать, Саморазвитие",📄
Радикальное принятие,,Личный коучинг,"Автор: Лиля Ким | Темы: Личный коучинг, Сложная ситуация",📄
Как преодолеть застенчивость,,Саморазвитие,"Автор: Филип Зимбардо | Темы: Саморазвитие, Уверенность",📄
Семь маршрутов безопасности,,Личный коучинг,"Автор: У Лили Ким | Темы: Личный коучинг, Осознанность, Саморазвитие",📄
Вопросы о работе над зависшим проектом,,Бизнес,"Автор: Дарья Кутузова | Темы: Бизнес, Личный коучинг, Проект",📄
Работа с чувством личной несостоятельности,,Осознанность,"Автор: Кутузова Дарья | Темы: Осознанность, Сложная ситуация | Источник: http://www.pismennyepraktiki.ru/rabota-s-chuvstvom-nesostojatelnosti/?fbclid=IwAR1hDN6fYxE02BCXsRtXH_zfvo8uVKziwTevhYblLwDGGa8-JHcLvlSCl94",📄
Незавершенные предложения Петросян,,Личный коучинг,Темы: Личный коучинг,📄
Вопросы про энергию жизни,,Личный коучинг,Автор: Брендон Берчард | Темы: Личный коучинг,📄
15 качеств,,,Автор: Петр Осипов,📄
Схема коммуникации на все случаи жизни,,,,📄
Инструменты продуктивности,,,,📄
Итоги месяца: двустраничник,,,,📄
Иерархия сигналов зова,,Призвание,Автор: Гузенюк Филипп | Темы: Призвание,📄
Кто я?,,Призвание,Автор: Ричард Боллс | Темы: Призвание,📄
Журнал принятия решений,,Решения,Автор: Даниэль Канеман | Темы: Решения,📄
Внутренний кассовый разрыв,,,,📄
Формула выявления желания,,,,📄
Желания на четырех уровнях,,,,📄
Интервью для журнала Форбс,,Бизнес,Автор: Аркадий Морейнис | Темы: Бизнес,📄
Две жизни,,Осознанность,"Автор: Райдер Кэрролл | Темы: Осознанность, Призвание, Саморазвитие",📄
Показатели жизнедеятельности,,,Автор: Курс МИф,📄
Метод жёлтого утёнка,,Бизнес,"Автор: Райдер Кэролл | Темы: Бизнес, Решения, Сложная ситуация",📄
ОКР: как мозг ставит цели,,,,📄
Виды голода,,,Автор: Ольга Нечаева,📄
Как доверять себе и другим,,,Автор: Брене Браун,📄
Выход на новый уровень,,,Автор: Осипов Петр,📄
Работа Байрон Кейти,,,,📄
Исследуем сочувствие к себе: пишем письмо,,Любовь к себе,"Автор: Кристин Нефф | Темы: Любовь к себе, Самоподдержка | Источник: Самосострадание",📄
World cafe,,,,📄
"Вопросы себе по итогам дня, вечерний дневник",,,Автор: Кутузова Дарья,📄
Ревизия 90 дней,,Бизнес,"Темы: Бизнес, Стратегия",📄
Ретроспектива недели,,Планирование,"Автор: Филипп Гузенюк | Темы: Планирование, Ревизия",📄
Дневник личного и профессионального развития,,Профессиональное развитие,Темы: Профессиональное развитие,📄
Особняк,,,,📄
Быть и иметь,,,Автор: Валя Габышева,📄
Личная аллея славы,,,,📄
Хронология жизни,,,,📄
Бесит: вопросы для нахождения золота в тени,,,Автор: Пепеляева Дарья,📄
Пять С для лидера,,,Автор: Брене Браун,📄
Журнал для наблюдения за жучком,,,Автор: Джим Коллинз,📄
Практика прорастания талантов,,,Автор: Филипп Гузенюк,📄
33 желания,,,Автор: Ольга Нечаева,📄
Прощальное письмо,,,Автор: Нóссрат Пезешкиан,📄
Как найти точки стабильности — WADE,,Решения,Автор: Ева Кац | Темы: Решения,📄
Как сохранить волю к жизни?,,,Автор: Филипп Гузенюк,📄
24 вопроса для сложной ситуации,,,,📄
Терапевтическое письмо,,,Автор: Готтман Джон,📄
Контролируемая тревога (тревога перед сном),,,,📄
Как чувствовать свои чувства?,,,,📄
Шесть вопросов на этапе перехода,,,,📄
"Вопросы, конструирующие решения",,,,📄
Практики перехода: как пережить завершение старого,,,Автор: Кутузова Дарья,📄
Как внедрять нанопривычки,,,Автор: Би Джей Фогг,📄
Интегральное намерение,,Личный коучинг,"Автор: Филипп Гузенюк | Темы: Личный коучинг, Планирование, Стратегия",📄
Ящик с инструментами,,Личный коучинг,"Автор: Лия Ким | Темы: Личный коучинг, Любовь к себе, Самоподдержка, Саморазвитие",📄
Как больше быть собой,,,Автор: Nila,📄
Письмо о призвании,,Призвание,Автор: Валя Габышева | Темы: Призвание,📄
Итоги дня,,,Автор: Петросян Армен,📄
Список ценностей,,ценности,Темы: ценности,📄
Как работать с метафорами проблем,,Метафоры,"Автор: Майкл Уайт | Темы: Метафоры, Проблемы, Сложная ситуация",📄
Капсула месяца,,,Автор: Дарья Кутузова,📄
Ритуал от захлестывающих эмоций,,Проблемы,"Темы: Проблемы, Сложная ситуация, Эмоции",📄
Анализ роли – для мастермайндов и групп,,Бизнес,Темы: Бизнес,📄
Вопросы для просмотра фильмов,,Бизнес,Автор: Артем Мущинский | Темы: Бизнес | Источник: https://t.me/one_day_one_story,📄
Квадратно-гнездовой метод Ансоффа (продукт и маркетинг),,Бизнес,"Темы: Бизнес, Проект",📄
Дневник продуктивности,,Дневник,"Автор: Шон Бланк | Темы: Дневник, Продуктивность, Профессиональное развитие | Источник: https://fedorovpishet.ru/shawnblanc/",📄
Практика для выхода за рамки,,Бизнес,"Автор: Гузенюк | Темы: Бизнес, Планирование, Профессиональное развитие, Стратегия",📄
Если чувствуете зависть / ревность / обесценивание себя по отношению к другому эксперту,,Зависть,"Темы: Зависть, Обесценивание",📄
Сокровенный изъян,,Профессиональное развитие,Автор: Уилл Сторр | Темы: Профессиональное развитие | Источник: https://t.me/one_day_one_story/743,📄
Сожаление и печаль,,Самоподдержка,Автор: Юлия Рублева | Темы: Самоподдержка,📄
Воздушный шар,,Проект,Темы: Проект,📄
Антикризисный дневник,,Личный коучинг,"Темы: Личный коучинг, Самоподдержка, Сложная ситуация",📄
Как стать мастером жизни. Пирамида мастерства,,Любовь к себе,"Темы: Любовь к себе, Осознанность, Проект, Самоподдержка, Саморазвитие",📄
Куда двигаться дальше?,,Личный коучинг,"Автор: Валя Габышева | Темы: Личный коучинг, компаньонаж",📄
Практика на денежные цели,,Деньги,"Автор: Михаил Гребенюк | Темы: Деньги, Саморазвитие",📄
Чего недостает в движении к новому?,,Движение,"Автор: Валя Габышева | Темы: Движение, Продуктивность",📄
Роли в жизни,,Личный коучинг,"Автор: ХлоФло | Темы: Личный коучинг, Призвание, Таланты",📄
4 маркера талантов и практика плюс 3,,Саморазвитие,"Темы: Саморазвитие, Таланты, Уверенность, компаньонаж",📄
Опросник для пар,,Личный коучинг,"Автор: Николай Козлов | Темы: Личный коучинг, Отношения | Источник: https://psychologos.ru/articles/view/voprosnik-osnovy-semeynogo-dogovora",📄
Как обработать встречу с болезненными ситуациями,,Личный коучинг,"Автор: Марина Сойта | Темы: Личный коучинг, Сложная ситуация",📄
Практика для работы с деньгами,,Деньги,Темы: Деньги,📄
Как найти большую пятерку для жизни?,,,,📄
Карта разрешений для воплощения желаемого будущего,,Дневник,"Автор: Альберт Сафин | Темы: Дневник, Состояние, Стратегия",📄
Раскрасьте ваши мысли,,Самоподдержка,"Автор: Таня Петерсон | Темы: Самоподдержка, Тревожность",📄
Как написать любовное письмо,,Любовь к себе,"Автор: Маркус Бакингем | Темы: Любовь к себе, Ревизия, Таланты",📄
Красная нить,,,,📄
Планирование из ценностей,,Планирование,Автор: Франкель | Темы: Планирование,📄
Как найти дело жизни? 10 вопросов,,,,📄
Синдром отложенной жизни,,Обесценивание,"Темы: Обесценивание, Проблемы, Продуктивность, Самоподдержка, Тревожность",📄
Шепот ангела,,Для тренингов,Темы: Для тренингов,📄
Рефлексивный отклик,,,,📄
Метод Мак-Гайвера: решение проблем,,Сложная ситуация,Темы: Сложная ситуация,📄
Квадратно-гнездовой метод Ансоффа,,Бизнес,Автор: Ансофф | Темы: Бизнес,📄
Четыре измерения реальности,,Личный коучинг,"Автор: Филипп Гузенюк | Темы: Личный коучинг, Решения",📄
Арка жизни,,Лидерство,"Автор: Филипп Гузенюк | Темы: Лидерство, ценности",📄
Три маленьких шага к радости,,Радость,Темы: Радость,📄
Списки новая версия,,,,📄
Практики при окончании отношений,,Отношения,"Автор: Кутузова | Темы: Отношения, Отпускать",📄
Карта отношений,,Личный коучинг,"Темы: Личный коучинг, Отношения | Источник: Гузенюк Филипп",📄
Вопросы для разрешения конфликтов,,конфликт,"Теги: конфликт, неудобная ситуация, сильный вопрос",📄
Письмо себе из прошлого года в будущий,,планирование,"Автор: Маша Несмеева | Теги: планирование, подведение итогов",📄
Семь ступеней заботы о себе,,Забота о себе,"Автор: Ольга Назарова | Темы: Забота о себе, Любовь к себе, Самоподдержка",📄
Звезда осознанности,,Личный коучинг,"Темы: Личный коучинг, Осознанность, Саморазвитие",📄
Рефлексия профессиональная в конце периода,,Личный коучинг,"Автор: Артур Миргаязов | Темы: Личный коучинг, Продуктивность, Профессиональное развитие, Саморазвитие",📄
