
| Термин                           | Расшифровка                                                                                                                                                                                                                                                                                                                                                                              |
| -------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Артефакт встречи                 | То, что остается у участницы после встречи (и то, что можно потрогать/пощупать) – списки, планы, шаги.                                                                                                                                                                                                                                                                                   |
| Встреча с письменными практиками | Групповой формат с доминированием письма и тишины (соотношение письма и разговоров – 70/30), не лекция и не терапия. Встреча – это совокупность письменных практик, выстроенных в определенной структуре. Письменная практика – это одна часть встречи. Мы – ведущие встреч с письменными практиками. <br><br>Неверно: ведущие письменных практик, приглашаю вас на письменную практику. |
| Жизненный цикл встречи           | От идеи и анонса до пост-промо и следующего шага.                                                                                                                                                                                                                                                                                                                                        |
| Завтрак                          | Устоявшееся название формата встречи в сообществе.                                                                                                                                                                                                                                                                                                                                       |
| Инструкция к практике            | Объяснение того, как будет выполняться практика: короткая, ≤30 слов, ясные шаги и пример того, как будет выглядеть результат».                                                                                                                                                                                                                                                           |
| Кейс                             | Ситуация из практики ведущих Лиги, обычно поделена на две части: что происходило и как поступила ведущая.                                                                                                                                                                                                                                                                                |
| Намерения                        | 2–3 конкретных шага после встречи у каждой участницы.                                                                                                                                                                                                                                                                                                                                    |
| Настройка                        | Вход в тему: заземление, дыхание, короткая медитация и т.п.                                                                                                                                                                                                                                                                                                                              |
| Писательские практики            | Практики, которые подходят начинающим писателям. Важно не путать письменные и писательские практики.                                                                                                                                                                                                                                                                                     |
| Правило «стоп»                   | Право не продолжать тему / не делиться текстом.                                                                                                                                                                                                                                                                                                                                          |
| Результат встречи                | Замысел: что участницы уносят (инсайт, ясность, шаги, состояние) — не дублируем отдельными терминами «смысловой/физический».                                                                                                                                                                                                                                                             |
| Рефлексивный отклик              | Осмысление после практики (письменно / в паре / в кругу).                                                                                                                                                                                                                                                                                                                                |
| Руминация                        | Повторяющееся, навязчивое прокручивание в голове тревожных или неприятных мыслей, воспоминаний и переживаний «по кругу», без движения к решению или ясности.                                                                                                                                                                                                                             |
| Сборный завтрак                  | Практикум: части встречи ведут ученицы по очереди, остальные — гости.                                                                                                                                                                                                                                                                                                                    |
| Сертификационный завтрак (СЗ)    | Финальная встреча для проверки соответствия стандарту; запись, самооценка, оценка ментора.                                                                                                                                                                                                                                                                                               |
| Сценарий встречи                 | Пошаговый план встречи: вход → настройка → цепочка практик → рефлексивный отклик →  шеринг → завершение.                                                                                                                                                                                                                                                                                 |
| Техника безопасности             | Правила для ведущей и группы: на что необходимо обращать внимание,  границы роли ведущей.                                                                                                                                                                                                                                                                                                |
| Тренировочный завтрак            | Полная встреча по критериям сертификационного завтрака с разбором ментора.                                                                                                                                                                                                                                                                                                               |
| Шеринг                           | Этап, на котором участницы по очереди делятся устно тем, что написали, или своим откликом на практику — по желанию и в рамках правил безопасности. Выполняется по желанию, в кругу или в малых группах, с уважением к таймингу. Шеринг — не лекция и не групповая терапия: ведущая не комментирует личное содержание как эксперт, а держит формат, время и безопасное пространство.      |
