 schemaname |          tablename           |                policyname                 | permissive |  roles   |  cmd   |                                      qual                                      |                                   with_check                                   
------------+------------------------------+-------------------------------------------+------------+----------+--------+--------------------------------------------------------------------------------+--------------------------------------------------------------------------------
 public     | app_settings                 | app_settings_select_all                   | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | app_settings                 | app_settings_write_admin                  | PERMISSIVE | {public} | ALL    | is_admin()                                                                     | is_admin()
 public     | cities                       | Allow delete cities                       | PERMISSIVE | {public} | DELETE | true                                                                           | 
 public     | cities                       | Allow insert cities                       | PERMISSIVE | {public} | INSERT |                                                                                | true
 public     | cities                       | Allow public read access to cities        | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | cities                       | Allow update cities                       | PERMISSIVE | {public} | UPDATE | true                                                                           | 
 public     | course_progress              | Insert own progress                       | PERMISSIVE | {public} | INSERT |                                                                                | (auth.uid() = user_id)
 public     | course_progress              | Read own progress                         | PERMISSIVE | {public} | SELECT | (auth.uid() = user_id)                                                         | 
 public     | events                       | Allow delete events                       | PERMISSIVE | {public} | DELETE | true                                                                           | 
 public     | events                       | Allow insert events                       | PERMISSIVE | {public} | INSERT |                                                                                | true
 public     | events                       | Allow public read access to events        | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | events                       | Allow update events                       | PERMISSIVE | {public} | UPDATE | true                                                                           | 
 public     | events                       | Public read events check                  | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | goals                        | Users can delete own goals.               | PERMISSIVE | {public} | DELETE | (auth.uid() = user_id)                                                         | 
 public     | goals                        | Users can insert own goals.               | PERMISSIVE | {public} | INSERT |                                                                                | (auth.uid() = user_id)
 public     | goals                        | Users can update own goals.               | PERMISSIVE | {public} | UPDATE | (auth.uid() = user_id)                                                         | 
 public     | goals                        | Users can view own goals.                 | PERMISSIVE | {public} | SELECT | (auth.uid() = user_id)                                                         | 
 public     | knowledge_base               | KB_Delete_Admin                           | PERMISSIVE | {public} | DELETE | ((auth.jwt() ->> 'email'::text) = 'olga@skrebeyko.com'::text)                  | 
 public     | knowledge_base               | KB_Edit_Auth                              | PERMISSIVE | {public} | ALL    | (auth.role() = 'authenticated'::text)                                          | (auth.role() = 'authenticated'::text)
 public     | knowledge_base               | KB_Insert_Auth                            | PERMISSIVE | {public} | INSERT |                                                                                | (auth.role() = 'authenticated'::text)
 public     | knowledge_base               | KB_Update_Admin                           | PERMISSIVE | {public} | UPDATE | ((auth.jwt() ->> 'email'::text) = 'olga@skrebeyko.com'::text)                  | 
 public     | knowledge_base               | KB_View_All                               | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | meetings                     | Users can delete own meetings.            | PERMISSIVE | {public} | DELETE | (auth.uid() = user_id)                                                         | 
 public     | meetings                     | Users can insert own meetings.            | PERMISSIVE | {public} | INSERT |                                                                                | (auth.uid() = user_id)
 public     | meetings                     | Users can update own meetings.            | PERMISSIVE | {public} | UPDATE | (auth.uid() = user_id)                                                         | 
 public     | meetings                     | Users can view own meetings.              | PERMISSIVE | {public} | SELECT | (auth.uid() = user_id)                                                         | 
 public     | meetings                     | Users_Insert_Own_Meetings                 | PERMISSIVE | {public} | INSERT |                                                                                | (auth.uid() = user_id)
 public     | meetings                     | Users_View_Own_Meetings                   | PERMISSIVE | {public} | SELECT | (auth.uid() = user_id)                                                         | 
 public     | news                         | Admins can insert news.                   | PERMISSIVE | {public} | INSERT |                                                                                | true
 public     | news                         | News are viewable by everyone.            | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | notebooks                    | Allow public read access to notebooks     | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | notifications                | Users can update own notifications.       | PERMISSIVE | {public} | UPDATE | (auth.uid() = user_id)                                                         | 
 public     | notifications                | Users can view own notifications.         | PERMISSIVE | {public} | SELECT | (auth.uid() = user_id)                                                         | 
 public     | practices                    | Practices_Delete_Own                      | PERMISSIVE | {public} | DELETE | (auth.uid() = user_id)                                                         | 
 public     | practices                    | Practices_Insert_Own                      | PERMISSIVE | {public} | INSERT |                                                                                | (auth.uid() = user_id)
 public     | practices                    | Practices_Update_Own                      | PERMISSIVE | {public} | UPDATE | (auth.uid() = user_id)                                                         | 
 public     | practices                    | Practices_View_Own                        | PERMISSIVE | {public} | SELECT | (auth.uid() = user_id)                                                         | 
 public     | profiles                     | Map_View_All                              | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | profiles                     | Olga Power                                | PERMISSIVE | {public} | ALL    | ((auth.jwt() ->> 'email'::text) = 'olga@skrebeyko.com'::text)                  | 
 public     | profiles                     | Olga_Power_Profiles                       | PERMISSIVE | {public} | ALL    | ((auth.jwt() ->> 'email'::text) = 'olga@skrebeyko.com'::text)                  | 
 public     | profiles                     | Public View                               | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | profiles                     | Public profiles are viewable by everyone. | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | profiles                     | Self Update                               | PERMISSIVE | {public} | UPDATE | (auth.uid() = id)                                                              | 
 public     | profiles                     | User_Edit_Self                            | PERMISSIVE | {public} | UPDATE | (auth.uid() = id)                                                              | 
 public     | profiles                     | User_Insert_Self                          | PERMISSIVE | {public} | INSERT |                                                                                | (auth.uid() = id)
 public     | profiles                     | Users can insert their own profile.       | PERMISSIVE | {public} | INSERT |                                                                                | (auth.uid() = id)
 public     | profiles                     | Users can update own profile.             | PERMISSIVE | {public} | UPDATE | (auth.uid() = id)                                                              | 
 public     | profiles                     | profiles_insert_own                       | PERMISSIVE | {public} | INSERT |                                                                                | (auth.uid() = id)
 public     | profiles                     | profiles_select_authenticated             | PERMISSIVE | {public} | SELECT | (auth.uid() IS NOT NULL)                                                       | 
 public     | profiles                     | profiles_update_admin                     | PERMISSIVE | {public} | UPDATE | is_admin()                                                                     | is_admin()
 public     | profiles                     | profiles_update_own                       | PERMISSIVE | {public} | UPDATE | (auth.uid() = id)                                                              | (auth.uid() = id)
 public     | pvl_checklist_items          | pvl_checklist_items_all                   | PERMISSIVE | {public} | ALL    | true                                                                           | true
 public     | pvl_student_content_progress | pvl_student_content_progress_student      | PERMISSIVE | {public} | ALL    | true                                                                           | true
 public     | questions                    | Allow public read access to questions     | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | scenarios                    | Users can delete own scenarios            | PERMISSIVE | {public} | DELETE | (auth.uid() = user_id)                                                         | 
 public     | scenarios                    | Users can insert own scenarios            | PERMISSIVE | {public} | INSERT |                                                                                | (auth.uid() = user_id)
 public     | scenarios                    | Users can update own scenarios            | PERMISSIVE | {public} | UPDATE | (auth.uid() = user_id)                                                         | 
 public     | scenarios                    | Users can view own or public scenarios    | PERMISSIVE | {public} | SELECT | ((auth.uid() = user_id) OR (is_public = true))                                 | 
 public     | shop_items                   | shop_items_select_all                     | PERMISSIVE | {public} | SELECT | true                                                                           | 
 public     | shop_items                   | shop_items_write_admin                    | PERMISSIVE | {public} | ALL    | is_admin()                                                                     | is_admin()
 storage    | objects                      | Auth Upload                               | PERMISSIVE | {public} | INSERT |                                                                                | ((bucket_id = 'avatars'::text) AND (auth.role() = 'authenticated'::text))
