title,time,type,description,icon
План на 95 лет,,Истории,"Девяносто пять лет? Да-да. Надо начать с начала жизни и отнестись к прошедшим годам так, будто вы намеренно их спланировали — родились, в семь лет пошли в школу, в десять — переехали в Калифорнию. Продолжайте до настоящего времени, а потом двигайтесь дальше — в будущее: в 57 лет вы отправились в Антарктиду, в 65 стали разводить орхидеи и написали великий роман, в 85 снова вступили в брак. И останавливаться нельзя, пока не дойдете до 95 лет!

Возьмите несколько листов линованной или простой бумаги и поверните горизонтально. Разделите их на четыре колонки. Первую озаглавьте «Возраст», в ней вы запишете числа 5, 10, 15, 20 и так далее, до 95 лет.(Пропустите по нескольку строчек — возможно, вам захочется разбить эти интервалы на более мелкие.)

Вверху второй колонки напишите «Главное событие». Это значит родиться, пойти в школу, переехать — и все, что случится или может случиться в будущем,— все, что кажется вам важным.

Конечно, вообразить важное событие через двадцать, тридцать или пятьдесят лет — большое допущение, но все же постарайтесь. Вы строите сетку, от которой зависят две следующие колонки.

С третьей колонкой труднее, но интереснее: озаглавьте ее «Чему я научился» и напишите самое важное, что вы выучили или выучите в каждом возрасте. Не торопитесь. Эта часть упражнения может оказаться очень серьезным опытом.

Теперь вверху четвертой колонки напишите: «Самое потрясающее, что я видел». Возможно, вы не безупречно помните прошлое, но доверьтесь импульсу: он не даст уйти далеко от истины. Когда дойдете до будущего, вам придется отпустить воображение на свободу, но постарайтесь и сделайте это. Оно того стоит.

Завершив упражнение, напишите внизу на последней странице: «Что я хочу рассказать молодежи», а потом расскажите, чему этот воображаемый путь в девяносто пять лет научил вас применительно к смыслу жизни.

А как у вас? Что вы обнаружили? Это весьма важно, ведь вы только что составили описание работы для всей вашей жизни.

И, надеюсь, вы поняли: *у вас только одна настоящая работа, и эта работа — прожить целую жизнь.* Посмотрите, сколько в ней грядет событий, решений, мест, ощущений, проектов.

|  **Годы** | **Главное событие** | **Чему я научился/научилась** | **Самое потрясающее, что я видел/видела** |
| --- | --- | --- | --- |
| 5 |  |  |  |
| 10 |  |  |  |
| 15 |  |  |  |
| 20 |  |  |  |
| 25 |  |  |  |
| 30 |  |  |  |
| 35 |  |  |  |
| 40 |  |  |  |
| 45 |  |  |  |
| 50 |  |  |  |
| 55 |  |  |  |
| 60 |  |  |  |
| 65 |  |  |  |
| 70 |  |  |  |
| 75 |  |  |  |
| 80 |  |  |  |
| 85 |  |  |  |
| 90 |  |  |  |

Что я хочу рассказать молодежи?",🎯
Крошечный нервный срыв,,Личный коучинг,"**Это очень легко, никто даже и не узнает. Просто попробуйте, и поймете, что я имею в виду.**

1.	**Найдите тихую комнату или ванную**, где можно запереться и побыть в одиночестве.

2.	**Закройте глаза**, несколько раз глубоко вдохните и произнесите про себя: «Мне больно, мне плохо». А потом: «Ой-ой-ой».

3.	**Если что-то почувствуете в глазах, в груди**, сделайте вид, будто плачете и всхлипываете. Если появятся настоящие слезы, даже лучше, но особой необходимости в этом нет.

4.	**Если ничего не чувствуете** — представьте себя ребенком лет восьми со всеми своими нынешними обязанностями и скажите тихо: «Кто-нибудь, помогите. Я слишком мал, чтобы все это вынести. Я не справлюсь». Должно получиться.

5.	**На несколько мгновений отдайте горестным ощущениям**, поднимающимся из глубины души; пусть они высвободятся, и вы заметите, как спадает напряжение.

**Вы поймете, что закончили**, когда из вашей груди вырвется совсем другой вздох — вздох облегчения: «Уф, все прошло». Встаньте, пройдитесь, умойтесь — и вы обнаружите нечто удивительное. Стресс исчез, у вас уже нет трудностей с тем, чтобы расслабиться и перестать спешить.

**Совсем несложная процедура**, но, полагаю, вы удивитесь, насколько изменится ваше самочувствие. Ведь часто голова идет кругом из-за страха не справиться; однако, высвободив это скрытое чувство, бояться уже нечего. Механизм примерно такой: напуганному ребенку, который продолжает в вас жить, требовалось поплакать. Как только он выплакался, страх исчез.",💬
Чек-лист работы с курсами и вебинарами,,,"- Список вопросов
- Список практик
- Список задач
- Список идей
- Список того, чем хочу поделиться
- Отзыв",🎯
Квадрант качеств,,Личный коучинг,"У МЕНЯ НА ТЕБЯ АЛЛЕРГИЯ

Набрела на ""квадрант качеств"" Дэниэла Офмана. 

Так вот этот квадрант - еще одна формула, которая мне показалась интересной. Прежде всего тем, что она вводит понятие ""аллергия на человека"". У каждого, наверное, есть люди, которые вызывают ""аллергию"", и есть поп психология, которая говорит, что это от неприятия этого в себе. Ну вот, а теперь то же - научным языком.

1. У нас есть так называемые Core Qualities, основные качества. То, что проявляется ярче всего, формирует нас.
Каждое такое качество имеет обратную сторону, Ловушку. Она обычно - переизбыток этого качества. Если я логична, то моя ловушка - в холодность. Если я лидер, то моя ловушка - высокомерие, одиночество. Если я смелая, то моя ловушка - безрассудство.
2. У каждого качества есть балансирующая его противоположность. Стимул развития. . Это то, чего мне не хватает, чтобы не скатываться в ловушку. Если я логична, то моей противоположностью будет чувственность, интуиция. Если я лидер, то противоположностью будет командность, инклюзивность, смирение. Если я смелая, то моей противоположностью будет сдержанность, осторожность.
3. Ловушки противоположных качеств (слишком много чувственности, слишком много смирения, слишком много осторожности) - станут моей аллергией. Я буду особенно не выносить нелогичных, беспорядочных, ведомых, осторожных людей.

А теперь, что со всем этим делать, инсайты, так сказать.

!) Для меня не работает: ""не надо так рисковать"", ""надо быть осторожнее"". Все эти отрицания своих сильных сторон вызывают ярость. Секрет - это производное. Стараться быть инклюзивным лидером. Проявлять разумную смелость. Быть продуманно спонтанной. Быть сдержанно чувственной. Ответственно расслабленной и расслабленно ответственной. Быть эмпатичным логиком и логичным эмпатом. Не или-или, а и-и.

!) Все знают, как качества, которые сначала притягивали в человеке, начинают бесить. Хозяйственность оказывается скупердяйством, сдержанность - холодностью, страстность - безответственностью. Мы влюбляемся в стимул и оказываемся замужем за аллергией. Отрицая качества, которые вызывают аллергию, мы отворачиваемся от возможности баланса, и скатываемся в ловушку, оба, находясь в постоянной аллергии на самое то, что может вытянуть нас из этого противостояния.

!) В квадрате можно начать играть с любой клетки. Например, какие люди меня страшно бесят? - ненадежные. Ненадежность это слишком много чего? - фокуса на своих интересах. Моя зона развития - фокус на своих интересах. Горжусь ли я, что всегда надежна? О, да. Бывает ли у меня, что надо бы послать и подумать о себе (ловушка)? О, да. Что мне надо для развития - думать больше о своих интересах, оставаясь надежной.

Разминка для ума.
[В первом комменте видео на английском, которое проводит по этому всему.](https://m.youtube.com/watch?v=mtRgHQjun0Q)",💬
Когда приуныл,,Личный коучинг,"Классная техника, когда приуныл

Хочу поделиться простым и очень эффективным инструментом, который может вам пригодиться, когда все видится в серо-черных тонах, с чем бы это ни было связано. Например, что-то случилось на работе (возьмём не из приятных - вы узнали, что в компании будут сокращения.)

что нужно: блокнот, ручка, 10 минут времени.

ШАГ 1. подготовка

1) вспомните 1 человека, которого вы уважаете, восхищаетесь и считаете очень крутым (личное знакомство с ним не обязательно). Например, Илон Маск

2) вспомните человека, которого вы считаете самым большим неудачником по жизни, нытиком и вообще он вас бесит. Например, Петр, зануда из соседнего отдела

ШАГ 2. сама техника:

нарисуйте в блокноте такой же круг с 4 секторами, как на картинке.

В одном секторе напишите, как ВЫ видите вашу ситуацию сейчас и как на нее реагируете («жесть, самое неподходящее время, всё рухнуло»)

в следующем секторе напишите, как Илон Маск среагировал бы на эту ситуацию, как бы он ее увидел и что сказал бы (ну что-то типа «не самый большой факап по сравнению со взрывом ракеты при запуске, прорвемся» или «чувак, ты бы знал мою историю с PayPal…» - ну вы поняли, как ваша фантазия подскажет)))

в следующем секторе круга напишите, как видит эту ситуацию Петр («ну дааааа…. работу теперь не найти….. теперь уж точно всё пропало….. »)

и наконец, в последнем секторе - еще раз ВЫ. Только, как вы понимаете, теперь ваша реакция может измениться.

Заметили, что мы сделали? Мы расширили перспективу и ушли от одного варианта восприятия этой ситуации. Мы увидели, что одна и та же проблема выглядит по-разному и у нас, оказывается, есть выбор, как ее воспринимать.

Я эту технику делаю давно и она всегда работает без сбоя, видимо потому что предельно проста. Надеюсь, вам тоже понравится",💬
Семь практик для тонкого искусства letting go,,Отпускать,"Чтобы научиться «позволять жизни случаться», принимать естественный ход вещей, включая свое тело, которое есть, включая его биологическую половую принадлежность, генетические особенности, биологический возраст и другие нейтральные данности, принять которые не дает какой-то внутренний контекст, которым все эти объективные просто факты наделяются – семь практик:

- self-awareness – способность понять кто я, как мир влияет на меня и как я влияю на мир, помогает ориентироваться в своих чувствах, мыслях, ценностях и объектах веры;
- self-exploration – храбрость понять себя во всей полноте и принять необходимость роста каких-то сегментов;
- self-care – воля и умение хорошо заботиться обо всех аспектах своего бытия – физическом, ментальном и духовном – чтобы поддерживать комплексное wellbeing;
- self-esteem – самовосприятие ведущее к поведению, результатом которого является достойное материальное, социальное, ментальное, физическое и духовное состояние;
- self-kindness – способность быть дружелюбным по отношению к себе;
- self-respect – спокойная уверенность в своей способности и праве устанавливать материальные, физические, ментальные, эмоциональные, сексуальные, духовные границы и отстаивать соблюдение своих интересов;
- self-growth – непрекращающийся процесс поиска возможностей, чтобы учиться, любить и процветать.",🌿
Радикальное принятие,,Личный коучинг,"Про «радикальное принятие».

За 8 недель интенсива коррекции PTSD моё посттравматическое расстройство, разумеется, не исчезло. И никогда не исчезнет. У людей, выросших в травмирующих ситуациях (у меня – систематические побои и издевательства алкоголика) – не «травма, причинённая психике», а всё, что их психика есть, вся регуляция начиная с биохимии – сформировано травмой. Поэтому цель коррекционных программ – вытащить в осознанность травматика максимум того, что делает его поведение загадкой для него же самого, а затем тренировать навыки саморегуляции.

В моём случае, загадкой для меня самой были непрекращающиеся циклы одержимости сначала достижением, а потом яростным разрушением достигнутого. В ситуации с весом они просто очевиднее всего. Цикл занимает 2-3 года, за 9 циклов мятник раскачался от 20 до 79 кг. Последний сброс был до 37 кг и обратный набор до 116 перед операцией, которую мне назначили не столько для похудения, сколько для остановки этих качелей.

Другие часто встречающиеся обсессии, чтобы заглушать негативные переживания, с которыми не обучен справляться (гнев, стыд, неуверенность, отвержение, грусть, боль, страх) - одержимость прожектами (стартап ради стартапа), одержимость другими людьми («неразделённые великие любови»), накопление и глупая потеря денег (тяжело работать – глупейшим образом спустить). Последнее мне тоже очень свойственно.

Возникают они, потому что человека никто не учил что делать с гневом, стыдом, неуверенностью, отвержением, грустью, болью и страхом – кроме как засунуть поглубже и как можно категоричнее отрицать их наличие. Когда вместо «я боюсь, злюсь, переживаю из-за того, что меня отвергли, если мне больно, грустно или стыдно – МНЕ плохо», возникает «я боюсь, мне стыдно, больно и т.д. - Я плохой». И тогда вместо управления ситуацией, вызвавшей негативные переживания, или своим отношением к ней – человек соскальзывает в «избегающие импульсы», чтобы глушить или отрицать их.

Радикальное принятие (практика DBT – диалектической поведенческой терапии) – это, по сути, решение принимать реальность такой, какая она есть, во всей полноте. It is what it is.

В начале у меня были все типичные возражения по поводу этой практики, поэтому вот сразу ответы на них:

«Это значит принять все плохие вещи, произошедшие со мной или вообще» - Нет, радикальное принятие, это решение ВИДЕТЬ плохие вещи, признавать их существование и влияние на себя, других и мир без одобрения, прощения и сочувствия. It is what it is.

«Принять эти вещи, значит сдаться» - Нет, решение ВИДЕТЬ реальность не значит отказ от работы над ней, не значит пассивность. Это решение видеть ситуацию во всей полноте, чтобы найти более эффективное решение. It is what it is – вот с чем нам предстоит жить и работать.

## 10 шагов радикального принятия это:

Шаг 1: осознать какие части реальности я отказываюсь видеть или принимать (все реакции «это не должно быть так!», «почему это происходит со мной?», «почему я?» и т.д.) – просто их обозревать для начала;
Могу отдельно рассказать, как обсуждали моё «это не должно быть так!» по части тех, кто мучает и убивает животных, а их потом отпускают даже если они в соцсети выкладывали видео.

Шаг 2: напомнить себе, что неприятные части реальности будут всегда – это невозможно изменить;

Шаг 3: принять к сведению, что к этому моменту что-то привело – он исторически сложился;

Шаг 4: практиковать принятие не только сознанием, но и телом и духом – помнить о «руках» и «полу-улыбке» (упражнения помогающие заметить и устранить сопротивление принятию (видеть явление) на уровне тела, дыхания и настроя – первое это положить руки на колени, расслабить ладони и повернуть их вверх, а второе – это глубокое дыхание с закрытыми глазами, сохраняя полу-улыбку на лице);

Шаг 5: записать как поведение будет выглядеть, если принять реальность и действовать в соответствии с ней;

Шаг 6: признать наличие таких чувств как разочарование, грусть и горе;

Шаг 7: планировать заранее свое поведение в ситуациях, которые кажутся неприемлемыми и способы справляться с ними здоровым способом;

Шаг 8: формировать привычку замечать, как в теле проявляются напряжение и стресс;

Шаг 9: признать, что жизнь заслуживает того, чтобы жить, даже если она иногда причиняет боль;

Шаг 10: если возникает сопротивление «радикальному принятию» - составить список «за» и «против», чтобы полностью осознать последствия своего выбора.

Цель практики радикального принятия – натренировать человека присутствовать в реальности, воспринимая её во всей полноте – во всем плохим и хорошим, чтобы взаимодействовать с другими и миром адекватно, проактивно и вовремя.

Практика радикального принятия – 2. Обещанный пример. Начало в предыдущем посте.

Меня спросили, что в последнее время вызывало у меня реакцию «так быть не должно!» - чтобы прямо заклинило. Я рассказала, что некоторое время назад меня реально заклинило на новости из Казахстана. Суд оправдал и отпустил подсудимого, пытавшего и убивавшего собак, фото и видео он выкладывал в соцсетях. Хотя это случай, когда безнаказанность – худшее из возможных решений. Доказанный-передоказанный факт: серийные убийцы и садисты обычно начинают с животных. Их переход на стариков, женщин и детей – вопрос времени и стечения обстоятельств. Поэтому все они должны быть на строжайшем контроле, а люди, живущие с ними в одном районе, имеют право знать, что рядом с их детьми и родными находится личинка чикатило.

На примере этого случая мы стали разбирать как работает техника радикального принятия реальности. Все её 10 шагов.
(радикальное принятие реальности – это не одобрение, не прощение, не сочувствие. Это не значит смириться или сдаться. Это решение ВИДЕТЬ реальность целостно и присутствовать в ней, даже когда происходящее не вызывает одобрения, чтобы взаимодействовать и воздействовать эффективно и адекватно).

Шаг 1 – фиксировать, где происходит война с реальностью и отказ её принять – как внутри, так и снаружи.

- Хочу обратить твое внимание на последовательность. Из всех ужасных вещей, происходящих сейчас в мире – тебя клинит на психопате из азиатской страны, связанной с твоим детством, который убивает собак. То, чем тебе угрожал отец. И вместо того, чтобы принять реальность случившегося с тобой – это было как было, ты не можешь изменить прошлое, ты всё равно пытаешься с ним воевать, соскальзывая в фантазии о справедливости.

Шаг 2 – признать, что неприятные части реальности будут всегда, это неизбежно, этого нельзя изменить.
Какая-то часть людей всегда будет опасна для окружающих.

Шаг 3 – принять к сведению, что к этому привело, как это исторически сложилось.
Пытавший и убивавший собак в Казахстане делал «энимал краш». Это самый мерзкий движ в соцсетях, в том числе из-за которого в Америке в 2019 году Трамп подписал закон, объявивший издевательства и пытки над животными – федеральным преступлением, за которое полагается до 10 лет тюрьмы.
ФБР ведёт учёт всех замеченных в подобных вещах именно, потому что это список подозреваемых, когда речь заходит об очередном серийном убийце.
Animal abusers заносятся в реестр, так же как насильники и педофилы – чтобы их соседи, лендлорды, работодатели, партнёры могли узнать с кем имеют дело.

Шаг 4: практиковать принятие не только сознанием, но и телом и духом

- Мы живём в мире, где невинные – те, кто не сделал ничего плохого – могут быть подвергнуты издевательствами и смерти просто потому, что они беззащитны. It is what it is. Это правда. Это случилось с тобой, это случилось с этими собаками, где-то это происходит с кем-то ещё. Как реагирует твоё тело на это?
- Напряжением и болью.
- О чем ты думаешь?
- О бессилии.
- Бессилии делать что? Контролировать мир?
Дальше мы делаем практику отказа от ожидания стабильности. Принятия мира – as it is. В нём есть хорошее, в нём есть плохое. И наша возможность на это влиять очень и очень ограничена. Принять это не значит отказаться от действий, это значит планировать и осуществлять их находясь в реальности.

Шаг 5: как поведение будет выглядеть, если принять реальность и действовать в соответствии с ней
Необходимость контроля за личинками чикатило, пытающими и убивающими пока животных, но способных перейти на беззащитных людей сразу как сложатся обстоятельства – понятна любому здравомыслящему человеку.

- Вся моя семья живёт в Техасе, семь поколений. У нас про таких всегда говорили: «имеют тенденцию сопротивляться при аресте».

Шаг 6: признать наличие таких чувств как разочарование, грусть и горе
Я двадцать пять лет стараюсь фокусироваться только на светлых сторонах: «зато я…», стыдясь признать ущерб – длительные депрессивные эпизоды, аддиктивность, проблемы с привязанностью.
Моё горе никогда не было признано и прожито, я не даю себе это делать, чтобы «не расклеиться» - но несколько дней плакала над убитыми где-то в Казахстане собаками.

Шаг 7: планировать заранее свое поведение в ситуациях, которые кажутся неприемлемыми и способы справляться с ними здоровым способом;
У любой команды найдутся свои болельщики. В том числе у живодёрской. Скорее всего обязательно прилетит что-то про «корейцев собак едящих» поэтому конечно же не фиг бабе с фамилией Ким возникать насчёт простого казахского парня, который ради хайпа разбивал собакам головы металлической дверью.
Так же скорее всего найдётся кто-то с паранойей, что это агитация за Трампа - тот же уровень логики.

Бан – самый здоровый способ справиться с этой ситуацией.

Шаг 8: замечать, как в теле проявляются напряжение и стресс
Мне всю диафрагму свело, перекрутило и вокруг шеи завязало, пока я писала этот текст.

Шаг 9: признать, что жизнь заслуживает того, чтобы жить, даже если она иногда причиняет боль

- Для тебя это было важно, и ты живёшь в штате, где за оставление собаки дома без еды и воды на несколько дней, или без убежища в случае жары или холода – можно получить до трёх лет тюрьмы. В стране, где то, что тебя так возмутило – федеральное преступление. Где все соцсети передают данные animal abusers в ФБР, которое их отслеживает так же, как педофилов и секс-оффендерс. Где всё, что ты произнесла в своей начальной речи – уже есть. Люди, считавшие так же – уже предприняли меры. О чём это говорит?
- Что люди всегда могут сделать мир лучшим местом, если захотят?
- Сначала найдут в себе силы увидеть реальность как она есть. Люди, которые подготовили и приняли все эти законы, сделали это потому, что выбрали не избегать «чтобы не расстраиваться», не делать вид будто проблемы нет – а принять её как факт. It is what it is. Потому что без принятия реальности – её невозможно изменить.

Шаг 10: если возникает сопротивление «радикальному принятию» - составить список «за» и «против», чтобы полностью осознать последствия своего выбора.

Я могу в любой момент отказаться от процесса проработки непроработанного и меня неминуемо сорвёт в очередной штопор саморазрушения, после которого я никому не смогу помочь, потому что буду в руинах.
И могу принять решение видеть реальность – такой какая она есть. С недостатками, но пластичной. Где, если быть в ресурсе, можно что-нибудь изменить к лучшему.",❤️
Как преодолеть застенчивость,,Саморазвитие,"**Упражнение 1 «Фильм»**

Вообразите, что вы смотрите часовой фильм о вашей жизни.

Где происходит показ? Какова сюжетная линия? Кто главные персонажи? Кто второстепенные? Кто руководит фильмом? Чем занимаются зрители во время просмотра?Каковы поворотные моменты фильма? Каков конец? Какая мораль может быть извлечена?Что делают зрители после окончания фильма?

**Упражнение 2 «Моменты жизни»**

Напишите 5 лучших моментов жизни. И 5 худших. Рядом с каждым пунктом напишите, кто или что способствовало этому. В скольких случаях вы были ответственным за ситуацию?

**Упражнение 3 «Если бы только я не был застенчив…»**

Почувствуйте себя уютно и закройте глаза. Подумайте о человеке или ситуации, которые постоянно вызывают в вас чувство застенчивости. Обдумайте это в деталях – каждое слово, каждый жест. Теперь вообразите, что бы вы сделали в этой же ситуации, если бы не были застенчивы. Что вы бы должны были сделать? Сказать? Что случилось бы?

Думайте об этом позитивном варианте каждый день в течение недели. В следующий раз, когда вы начнете чувствовать себя застенчивым в такой ситуации, вызовите в памяти ваш позитивный образ. Активно тренируйтесь таким образом.

**Упражнение 4 «Пофантазируем?»**

Если бы вы могли перевоплотиться в животное, кем бы вы стали? Почему именно это животное вы выбрали?

Если бы вы могли на неделю поменяться местами с другим человеком, кем бы вы стали? Почему?

Если бы появилась добрая фея, которая исполнит три ваших желания, какие желания вы загадаете?

**Техники по преодолению застенчивости**

Отличный путь, помогающий застенчивым людям обрести инициативу, — это путь актера, играющего роль. Выбирайте сами, каким вы хотите быть — сейчас вы храбры как Джеймс Бонд, а сейчас игривы, наивны и женственный как принцесса на горошине, а сейчас вы как пьяный дворник дядя Ваня вообще все можете себе позволить.

«Привет!». Здоровайтесь со всеми, кого встретите на улице, на работе или в школе. Улыбнитесь, скажите: «Привет! Прекрасный день, правда?».

Начинайте спокойные беседы с незнакомцами в публичных местах — магазине, кинотеатре, банке.

Возьмите за правило делать каждый день знакомым и незнакомым людям комплименты.

**Для всей семьи:**

Сядьте с закрытыми глазами. По сигналу «Начали», все начинают выражать недовольство общей ситуацией (работа, семья, планы на отпуск и так далее). Делайте это одновременно и громко. Как только наступает временное затишье, скомандуйте: «Открыть глаза». Повторите свои слова, глядя друг на друга. Кричите так громко, чтобы все остальные почти оглохли. Затем выделите сходные жалобы и начните их обсуждать. Последними обсудите жалобы особые, которые беспокоят одного или двух людей. Такое упражнение помогает выплеснуть наружу ярость и превращает обиды и гнев в крик, и потешную перебранку. Это позволяет людям услышать, чем недовольны окружающие, и приводит к обсуждению и решению проблем.

Из книги Филипа Зимбардо «Как побороть застенчивость»:",🧠
Семь маршрутов безопасности,,Личный коучинг,"Что делать когда возникает желание привычно поехать по рельсам избегания проблем, вместо их решения. Помогает предотвратить «соскальзывание в онемение», формирование «слепых пятен», т.н. прокрастинацию – когда люди заматывают себя мелкой суетой, чтобы не браться за то, что их пугает и они не понимают как вообще за это взяться. Обычно речь идёт о каком-то системном улучшении качества жизни – выход на новый уровень в бизнесе, прорыв в карьере, работа над своим «знаковым проектом», оздоровление, семейная терапия, смена поля деятельности, создание прочного финансового фундамента и т.д.

«7 маршрутов безопасности» - карточки с ассортиментом практик для моментов, когда начал «соскользывать в онемение» (у меня это резкий расфокус, приступ ADHD и такой голод, как будто уже вот-вот в обморок). Выбираешь из всего этого что-нибудь одно что сделать, чтобы успокоиться, поддержать себя и оставаться в осознанности относительно происходящего и делать лучшее, что можешь в данный момент - вместо автоматического расчехления привычной лопаты для самозакапывания. Можно и нужно дополнять своими вариантами.

🙆‍♀️ Внутреннее руководство: медитация и «направленная медитация» (под руководством), self-compassion (сопереживание самому себе), быть хорошим родителем самому себе, доверять себе, позитивное ощущение и восприятие себя, опираться на свою интуицию и «чуйку», практики заземления (присутствие в моменте), культивация присутствия в моменте (дыхательные и тактильные практики, я про них рассказывала в «Нейрофизиологии вдохновения»), уверенность в себе, ведение журнала – и его разбор с терапевтом, опираться на религиозные или духовные практики (какие кому привычно и комфортно), свобода принятия решений, откликаться на свои нужды, «чувствовать чувства» (обозревать их, не глушить).

🙆‍♀️ Структура и определённость: иметь список дел и календарь их воплощения, поддерживать позитивные рутины (распорядок дня, план питания и упражнений, расписание терапии, прогулки), знать что будешь делать в течении дня (составлять и придерживаться расписания своих дел), увеличивать предсказуемость жизни, иметь деньги в банке – позволять себе хорошую, комфортную жизнь (это практическая задача № 1 в списке «чем себя продуктивно занять» - создание финансовой подушки), всегда иметь выбор и контроль над его осуществлением, постоянное хобби, знать что предстоит и составлять план действий для этого (поездки, визиты, обучение и т.д.), регулярно просматривать список своих дел – добавляя ответы и решения к разным его пунктам.

🙆‍♀️ Тактильные впечатления: заземление через 5 чувств (у меня, минимум, три раза в день «заземляться» в сочетании с проверкой ощущений в теле), ритуалы со свечами (у меня во время работы свеча с одним запахом, в ванной с другим, перед сном – третья), регулярная растяжка, нанесение кремов и масел, ощущая при этом части тела, использование «тяжелого одеяла» (это придавливающее одеяло для людей с ADHD – мне не нравится, но многим помогает), поглаживание предплечий (как будто обнимаешь себя и гладишь сверху-вниз – реально моментально успокаивает), потискать партнёра или домашнего любимца, разглаживать свежевыстиранное белье, дыхательные практики, солнечные и «ветровые» ванны (загорать там, где морской или горный ветер можно хорошо на теле почувствовать).

🙆‍♀️ Качественные отношения: взаимная настройка друг на друга с партнёром или домашним питомцем (присутствие в отношениях, когда весь фокус на партнёре), иметь сильные, позитивные ролевые модели в каждой сфере жизни, интимные прикосновения, чувственный секс, смеяться с кем-то, сильное чувство «принадлежности» к общности людей (семье, комьюнити, команде, сообществу и т.д.), установление взаимной питающей связи с другими (круг общения состоит из людей, для которых вы можете быть ролевой моделью, равных и тех, кто может быть ролевой моделью для вас), установление и поддержка доверия с людьми в своём кругу (встречи, обмен «поглаживаниями», активное выражение поддержки).

🙆‍♀️ Меры безопасности: быть физически защищённым (уверенность в своей физической неприкосновенности), чувство безопасности (права соблюдаются, они защищены), наличие эффективных стратегий справляться с трудностями (наличие плана на случай потери работы, здоровья, жизни и т.д. – страховки и инвестиции в основном имеются ввиду), «сначала кислородную маску себе – потом остальным» - сохранение себя в силе, извинения от других принимаются только в случае реального изменения ими своего поведения, радикальная честность с собой и другими в отношении происходящего, радикальное принятие (согласие видеть происходящее в своей жизни во всей полноте), радикальная уязвимость (честность по поводу ее наличия), самодостаточность (способность к автономному выживанию), знание как восстановить справедливость или её добиться.

🙆‍♀️ Близость и участие: получать обнимашки – давать обнимашки, иметь возможность для физического контакта (партнёр, домашний любимец, массаж и т.д.), наличие друзей к которым можно обратиться за помощью и оказать помощь, если они обращаются, делать что-то доставляющее удовольствие совместно с другими людьми (у нас это сторителлерз), наличие людей, которым вы можете рассказать о своём дне и быть выслушанным, знать на кого вы можете рассчитывать.

🙆‍♀️ Целительное уединение: возможность время от времени уединяться, чтобы побыть в тишине и покое, иметь свои секретные места, иметь свою «нору» (обустроенное место, чтобы быть там с книжкой или смотреть фильм, или валяться и вести дневник и т.д.), место, где можно заниматься каким-то видом искусства – лепить, рисовать, дизайн мебели и т.д., иметь места или маршруты, куда отправляться для daydreaming.

🙆‍♀️ Общая человечность: быть увиденным, распознанным и оценённым по достоинству, понимать что на ошибках учатся и ошибки не делают нас «ошибкой», это просто часть опыта; способность быть собой и смеяться с другими, самоирония, делиться опытом жизни – как хорошим, так и плохим, эмпатия, навык установления контакта и «игривость», умение настроить позитивно себя и других, быть открытым в коммуникации – какого изменения в жизни вы хотите достичь, как это делаете и какого руководства-поддержки ищете.

Ещё у меня есть напоминалка про «гормоны саморегуляции и счастья» - что делать, чтобы скорректировать своё состояние быстро. Если интересно, могу про неё тоже написать отдельным постом.",🧘‍♀️
